region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,6.651,6.46,6.254,6.038,5.816,5.595,5.38,5.174,4.981,4.802
Albania,1.703,1.668,1.65,1.646,1.653,1.668,1.685,1.7,1.71,1.714
Algeria,2.575,2.662,2.749,2.828,2.889,2.925,2.936,2.924,2.89,2.839
Angola,6.42,6.368,6.307,6.238,6.162,6.082,6,5.92,5.841,5.766
Antigua and Barbuda,2.203,2.183,2.164,2.146,2.13,2.115,2.102,2.089,2.076,2.063
Argentina,2.432,2.413,2.396,2.382,2.37,2.358,2.347,2.335,2.322,2.308
Armenia,1.694,1.702,1.706,1.703,1.693,1.68,1.664,1.648,1.634,1.622
Aruba,1.766,1.763,1.764,1.769,1.776,1.783,1.791,1.796,1.8,1.801
Australia,1.898,1.923,1.938,1.942,1.936,1.922,1.904,1.886,1.87,1.856
Austria,1.39,1.396,1.403,1.411,1.421,1.431,1.443,1.455,1.467,1.48
Azerbaijan,1.817,1.835,1.868,1.913,1.964,2.012,2.053,2.08,2.093,2.092
Bahamas,1.865,1.874,1.879,1.876,1.865,1.847,1.827,1.808,1.792,1.778
Bahrain,2.363,2.297,2.241,2.197,2.164,2.139,2.118,2.098,2.078,2.056
Bangladesh,2.603,2.522,2.449,2.384,2.328,2.279,2.236,2.199,2.165,2.133
Barbados,1.763,1.768,1.772,1.777,1.781,1.785,1.788,1.791,1.794,1.796
Belarus,1.359,1.402,1.449,1.496,1.541,1.581,1.616,1.646,1.669,1.686
Belgium,1.784,1.801,1.811,1.813,1.81,1.803,1.795,1.789,1.786,1.786
Belize,2.977,2.893,2.821,2.762,2.715,2.676,2.642,2.61,2.578,2.544
Benin,5.576,5.522,5.469,5.416,5.362,5.305,5.246,5.183,5.117,5.048
Bhutan,2.734,2.64,2.55,2.464,2.382,2.305,2.236,2.177,2.128,2.086
Bolivia,3.51,3.427,3.348,3.272,3.2,3.134,3.072,3.017,2.966,2.921
Botswana,2.946,2.918,2.901,2.891,2.884,2.876,2.863,2.842,2.812,2.774
Brazil,1.926,1.884,1.851,1.824,1.805,1.79,1.777,1.765,1.753,1.74
Brunei,1.819,1.808,1.809,1.821,1.838,1.857,1.874,1.884,1.888,1.884
Bulgaria,1.383,1.418,1.448,1.471,1.488,1.499,1.509,1.52,1.532,1.545
