region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Greenland,6.453793325,6.440823805,6.429116864,6.416704655,6.395982973,6.372324284,6.346991666,6.314133979,6.272119256,6.233634886
Morocco,5.715824999,5.707314049,5.694719163,5.679566425,5.652818415,5.617720017,5.574991858,5.526705337,5.472267228,5.413573185
Lesotho,5.568149026,5.591765924,5.606716613,5.610888232,5.618396017,5.622643973,5.626746568,5.63103979,5.635769827,5.636660704
Uganda,5.283417435,5.228532042,5.185020412,5.147840496,5.110315825,5.071930509,5.035457739,4.996004162,4.957013023,4.918028157
Finland,5.015729838,4.997500726,4.981612403,4.961093556,4.939423309,4.916403804,4.888971448,4.857564664,4.825885751,4.792735606
Iran,4.915721125,4.921871063,4.926662663,4.935345809,4.952557173,4.975983778,5.005540815,5.039831371,5.077386151,5.116344629
Palestine,4.909307616,4.892449853,4.874180269,4.85511654,4.831252666,4.805760157,4.775471401,4.741592197,4.705879636,4.665073696
Australia,4.882333647,4.857927125,4.834220383,4.81362237,4.790079667,4.75968633,4.731141977,4.696774006,4.659817333,4.623880986
Portugal,4.795228948,4.786921428,4.77492415,4.753900252,4.718802006,4.675020771,4.622826692,4.561402928,4.494714492,4.421460547
United States,4.776402144,4.765950113,4.761550716,4.762322295,4.765480791,4.772422125,4.782221847,4.795953919,4.813114212,4.835610409
Australasia,4.742922691,4.718048925,4.696324637,4.679037305,4.659611283,4.634488817,4.611300064,4.583550326,4.553465807,4.524688616
Sweden,4.556681698,4.557249146,4.554697795,4.548765471,4.541677949,4.533727326,4.524132888,4.513444051,4.500419868,4.487910994
Ireland,4.35548996,4.349689902,4.344661666,4.33850913,4.328852968,4.317934432,4.301373764,4.286580967,4.269447853,4.250920997
Greece,4.355115011,4.339084436,4.324319716,4.308967899,4.291948589,4.272855599,4.252703684,4.231759028,4.208264136,4.185863699
Northern Ireland,4.343705665,4.337592385,4.329934982,4.314687864,4.292694163,4.264932046,4.231808959,4.193336075,4.151498671,4.105620951
France,4.305071495,4.339658932,4.352982795,4.347922498,4.340423485,4.329669516,4.316752885,4.299325812,4.278158527,4.253807263
Ukraine,4.255071172,4.200979463,4.166985923,4.148908102,4.13142972,4.115221839,4.100436886,4.090186625,4.080101416,4.071915393
Lithuania,4.239608465,4.222720099,4.210079621,4.199422983,4.188996824,4.176505147,4.168826004,4.158024321,4.150702006,4.143254421
Central African Republic,4.227902431,4.224298045,4.222245438,4.220399501,4.21894385,4.217236799,4.218068096,4.21525697,4.212622774,4.211728229
Bangladesh,4.224997743,4.223742746,4.22464008,4.221367149,4.213672385,4.199102975,4.182412745,4.160872547,4.136922627,4.11061131
Guyana,4.219657923,4.235203053,4.243912057,4.244611115,4.239976948,4.230940168,4.21723839,4.196996611,4.173174114,4.141723621
Angola,4.16687689,4.157654172,4.15519773,4.155419558,4.155512473,4.15833624,4.156467677,4.158483796,4.157841205,4.160484197
Equatorial Guinea,4.158128887,4.157540366,4.158643131,4.158114998,4.158680265,4.159763679,4.161911969,4.163686931,4.164679613,4.167089986
Nigeria,4.157497395,4.195954217,4.218086635,4.218821094,4.205603148,4.175009828,4.131388233,4.071250673,4.001170175,3.917691287
Gambia,4.156638253,4.129867696,4.119213244,4.12029999,4.122448672,4.127429741,4.132474733,4.138839841,4.148847403,4.158517458
Congo,4.147473695,4.131639441,4.117043734,4.103064379,4.089021747,4.074620539,4.058585495,4.041543246,4.023941418,4.008290792
