region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,299432.5709,310547.3794,324245.7806,339822.369,354441.079,371384.0789,385477.903,395166.3557,406720.6141,422776.1589
Albania,24704.73317,24788.92553,24854.17973,24922.41024,24962.63513,25031.83466,24969.55956,24951.92538,25062.84477,25047.34954
Algeria,474735.7661,482272.4919,491235.3159,501404.096,511371.2548,521986.5839,532254.4944,543399.0824,554971.797,567086.7189
American Samoa,582.8195249,583.649934,584.8108227,587.1487727,590.3094823,594.1482764,598.3689032,602.8772748,607.8790396,613.06164
Andorra,1336.037789,1330.655769,1332.299329,1202.868089,1166.651522,1165.037239,1183.284746,1204.284477,1217.648643,1257.237389
Angola,245536.4624,253616.2143,262906.1833,272360.9487,282461.4928,293112.9258,303802.5107,315674.3927,327629.3058,340614.3826
Antigua and Barbuda,789.5536701,802.1198162,815.8426819,829.5683948,844.2596122,859.2336704,873.8641715,888.8689972,904.9048253,919.7723525
Argentina,490108.227,496878.1695,504313.05,511523.0507,518946.5898,526679.9237,533717.4287,540983.9833,547861.6453,554926.6016
Armenia,34019.60462,34167.6827,34270.81912,34298.56267,34294.76468,34281.3713,34318.00593,34265.85111,34243.57421,34214.57418
Australasia,440339.2898,444544.5584,449301.0032,454324.5186,459548.7353,464489.8091,469608.1569,474460.1452,479093.8577,483663.9609
Australia,377479.0718,381629.2244,386202.9167,390942.7616,395909.9775,400579.378,405328.6694,409766.5682,413921.8988,418014.1995
Austria,98463.2106,98736.42472,99122.05835,99594.02492,100241.8025,101193.2803,102190.3179,103373.4637,104524.1452,105380.8521
Azerbaijan,82352.60677,84351.0344,85983.96839,87839.58534,89465.25299,91077.29176,92569.97103,94168.33524,95714.5577,97261.47294
Bahamas,3246.866801,3296.826949,3349.328971,3410.152558,3472.712555,3536.464084,3599.463089,3661.360288,3728.647329,3795.414982
Bahrain,26160.57016,28553.71734,30689.67496,31965.09642,32720.81043,33581.87626,34379.67753,35144.6443,35563.42352,35966.70708
Bangladesh,1885320.503,1921083.638,1957759.84,1994483.846,2033735.006,2071334.28,2109494.932,2145308.047,2182007.19,2216744.094
Barbados,3124.446693,3183.338533,3241.860116,3298.392566,3355.362019,3414.954608,3469.860508,3525.95499,3578.973603,3629.605248
Belarus,167116.35,165568.5105,164260.206,162883.7639,161627.741,160654.7649,159797.8599,159058.0748,158405.3159,157774.3785
Belgium,163181.5435,166085.4139,168071.6515,169365.8388,170648.988,171907.9763,172758.476,173666.1398,174476.5504,175364.5044
Belize,3113.448236,3227.060701,3343.767475,3464.61488,3588.91864,3715.307248,3842.480746,3966.995176,4091.768834,4224.134659
Benin,79633.47585,82852.88975,86166.77486,89522.03187,93102.25419,96742.42129,100546.2065,104566.7206,108585.6307,112861.9983
Bermuda,815.1615372,818.7898772,823.513358,828.6503485,833.4238354,838.2846165,841.2454918,845.6505015,849.1772229,852.6138193
Bhutan,9133.739429,9544.185749,9991.212279,10469.15853,10926.17496,11339.72788,11741.58304,12149.4119,12540.82107,12902.78206
Bolivia,97120.4478,99369.87199,101703.6661,104223.6524,106711.1348,109179.2412,111598.0335,114152.3968,116686.2286,119328.0573
Bosnia and Herzegovina,39648.91063,38687.1865,37937.28429,37294.20484,36819.43328,36376.15586,35909.57826,35454.56535,35066.56022,34726.76556
Botswana,27151.79903,27879.36046,28631.86141,29392.16291,30163.60965,30967.4832,31742.47244,32582.45936,33408.58436,34248.15209
Brazil,2376728.412,2345698.916,2335663.251,2343556.035,2353844.763,2366257.234,2382011.529,2402685.468,2428200.907,2459095.339
Brunei,3353.942859,3426.113098,3507.711523,3589.968154,3677.081402,3764.950975,3848.365879,3944.890814,4039.724074,4136.516136
Bulgaria,87817.03956,87071.19037,86394.3307,85722.79271,85103.49516,84614.30887,84078.17065,83658.39065,83207.04095,82770.09277
Burkina Faso,149023.1626,153923.3256,159239.4102,164765.0155,170717.3374,176792.1486,183216.9073,190147.8538,197427.429,205020.515
Burundi,89282.17979,93602.42953,96126.23439,98442.15013,102131.2153,105927.2488,108576.8801,110736.3843,114127.9014,118340.438
Cambodia,144326.4079,148233.2412,152010.2039,155900.5534,159620.163,163353.3635,166968.8391,170587.3687,173959.3723,177607.1847
Cameroon,207787.9632,216110.6278,224514.7906,233638.8628,242754.2303,252361.994,262412.0845,272776.1841,283422.8448,294298.7267
Canada,474731.451,479405.864,484387.7064,490199.9816,495629.2822,500888.1851,506241.0599,511747.7675,517200.9357,522898.4262
Cape Verde,7404.165031,7585.985111,7767.609531,7957.995369,8141.87264,8322.131613,8498.889759,8674.058753,8843.379551,9008.283636
Caribbean,516943.0461,523241.7114,528249.8726,533521.1955,540180.7527,546735.0278,553275.6539,559702.9434,565827.3562,572334.2151
Central African Republic,59996.2922,61576.96858,63298.89374,65134.3071,66160.91347,65674.25497,65157.40297,65954.39254,67516.60359,69347.40816
