region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,389779.874,404313.0139,421752.071,442199.742,460391.2247,481465.0369,498926.7802,510967.0782,525468.1167,544505.0444
Albania,42968.41203,43093.55978,43264.26355,43467.44881,43656.70532,43900.22966,44000.91387,44122.21716,44412.68295,44639.62586
Algeria,694692.2854,709321.4526,724084.1996,739678.1655,755025.8998,771000.8326,787730.0917,803715.2981,820826.7571,838584.3804
American Samoa,808.2344321,812.4838937,817.2485992,823.5836987,830.0936959,837.786031,845.373651,853.1054143,861.5531269,870.6219591
Andorra,2113.373958,2117.23856,2130.042299,2004.970676,1957.205271,1959.056377,1985.616243,2012.591946,2028.057412,2081.798187
Angola,347070.3028,360344.1572,374368.5297,389447.485,404842.4133,421035.317,437574.902,454931.3814,472888.4979,491984.9504
Antigua and Barbuda,1394.629968,1405.398192,1417.559259,1432.173988,1447.081275,1460.71897,1477.082908,1493.031168,1510.615584,1528.328814
Argentina,907557.9463,920257.7358,933117.3374,945649.1738,958197.3249,970874.1449,984096.1745,996735.852,1009035.193,1021109.807
Armenia,58252.432,58142.93934,58079.56567,58133.08665,58167.87816,58180.21618,58241.09936,58388.60613,58541.76038,58721.47419
Australasia,710005.6036,716155.8732,722720.7237,730153.6644,736843.1879,742536.6334,748357.6917,753080.7279,756887.5628,760399.9747
Australia,612809.9917,619127.8205,625457.9591,632347.0634,638551.256,643796.2135,649153.4932,653303.4427,656577.9406,659444.2372
Austria,208428.551,208544.5531,208917.3681,209665.3487,210605.0445,211814.6023,213137.9725,214710.4588,216152.0238,217296.7053
Azerbaijan,137365.9459,139687.2179,142309.424,145341.4218,148384.2236,151480.28,154587.5184,157975.88,161609.1142,165344.2405
Bahamas,5461.794782,5553.116379,5644.413022,5743.227104,5843.278957,5946.316634,6044.621389,6148.71714,6254.925746,6361.971483
Bahrain,19943.3456,21118.2882,22185.04901,22955.42198,23534.28844,24180.96068,24798.56473,25433.14875,25934.08953,26461.9817
Bangladesh,3124691.755,3205842.948,3292238.788,3378482.467,3460610.526,3537345.049,3612019.876,3681650.236,3746875.548,3809632.62
Barbados,5068.206592,5149.18436,5229.41477,5308.196061,5383.075688,5457.191045,5533.169725,5605.904487,5677.872466,5748.243434
Belarus,305379.8343,304190.8764,303485.8463,302665.1085,302013.828,301577.0904,300988.2948,300573.6037,300183.9058,299841.5618
Belgium,300944.5529,305407.011,308599.0517,311019.8495,313354.1989,315444.5141,317286.5747,318836.7254,320237.26,321563.2316
Belize,4247.666457,4411.41612,4586.916961,4763.823985,4945.944462,5130.74147,5314.475984,5506.286323,5696.887256,5890.422504
Benin,129827.1225,134175.0622,138844.7064,143720.8722,148821.1011,154136.8664,159735.2112,165595.6319,171676.2804,177989.6672
Bermuda,1317.528991,1320.802441,1326.273408,1334.766838,1342.629415,1349.789064,1356.530866,1364.361946,1373.185281,1381.187777
Bhutan,11683.68009,12151.977,12686.60696,13287.73405,13858.82392,14375.73968,14893.20613,15424.79068,15937.37892,16426.05947
Bolivia,163175.3262,167265.3218,171174.6735,175068.7882,178779.5308,182407.9065,185810.4529,189024.7634,192141.028,195317.7318
Bosnia and Herzegovina,67774.2735,66766.81528,65936.32931,65155.97408,64604.85099,64062.21331,63470.57295,62859.03597,62239.78712,61719.48324
Botswana,37819.74096,38534.51103,39322.191,40182.70875,41051.07242,41964.37511,42931.26818,43909.76058,44924.10671,46000.18999
Brazil,4713949.638,4581326.629,4531443.321,4547271.261,4568517.297,4594071.088,4625224.31,4663330.014,4709157.927,4762387.815
Brunei,5661.6986,5746.200702,5843.984442,5955.510304,6057.880996,6168.19066,6281.125285,6402.426589,6530.330596,6659.913901
Bulgaria,160206.7766,158420.7903,156963.8119,155659.2899,154572.6685,153825.139,153244.0052,152726.1694,152209.0618,151713.6055
Burkina Faso,233946.5856,241430.1603,249861.38,259027.747,268991.382,279814.4301,291409.736,303969.8874,317171.12,331733.7104
Burundi,127014.899,132320.5674,134957.903,137609.8861,142118.9191,146773.4905,150031.2659,152527.325,156962.7926,162537.1684
Cambodia,224767.2662,229591.5533,234449.3267,239537.307,244557.9198,249676.1627,254721.1696,259967.3068,265291.5395,270694.3182
Cameroon,319799.7073,331560.7681,343798.0838,356604.7608,369714.9763,383557.7612,398214.1964,413310.1983,428888.9159,445330.2158
Canada,843091.6476,848180.0982,855390.0298,863838.138,872346.0681,880447.2885,888492.2679,896932.0841,906097.9537,916012.9078
Cape Verde,9511.153019,9697.478316,9880.863584,10075.23697,10275.29358,10477.27412,10684.71352,10894.77179,11110.79282,11336.8419
Caribbean,804411.385,812338.109,819812.9054,828036.8136,837263.712,846304.1123,854602.7381,862965.7416,870761.3209,878840.3255
Central African Republic,76311.4246,78105.87844,80195.7249,82376.53984,83715.31197,83160.75383,82762.29498,83855.15736,85918.03545,88422.61631
Chad,166484.526,171522.3471,176921.3153,182762.998,188935.4011,195518.5291,202207.4514,209511.276,217106.3374,225114.8628
Chile,430919.29,431034.5805,434209.0052,439522.1472,444835.6843,449761.911,454974.8511,460042.8286,465305.9237,470989.8698
Colombia,561348.8042,553341.8267,554104.7514,561890.6242,570227.4391,578984.0666,588085.8337,597759.5477,608297.4409,620014.0803
Comoros,9711.345301,9912.539031,10131.36337,10379.32009,10626.20826,10889.66664,11160.87027,11452.35891,11757.86386,12065.65875
Congo,77925.14487,79896.6778,81891.66635,83849.25301,85838.39592,87835.25872,89700.90016,91585.78966,93425.10174,95312.46627
Costa Rica,69196.05004,70688.19949,72121.44809,73502.96429,74921.19763,76252.07544,77581.842,78928.81103,80200.10832,81528.38764
Cote d'Ivoire,275357.0341,281376.3908,287894.6136,294560.7554,302161.5871,310252.6218,318788.9051,328155.2434,338356.8294,349269.2471
Croatia,92740.24803,92438.59416,92374.12008,92380.09439,92438.31011,92466.96902,92544.01624,92528.98244,92598.19919,92811.41107
Cuba,264101.146,263214.3878,263274.8941,263951.234,264746.5577,265591.5034,266313.7074,267156.2433,268016.942,269115.5267
Cyprus,24842.41666,25384.73171,25969.25161,26613.66537,27226.00523,27872.89199,28509.70326,29154.60897,29815.00097,30467.64029
Czech Republic,208311.3694,208553.7044,208889.4246,209333.5623,209781.3685,210084.8007,210592.985,211021.5524,211501.4131,212098.2578
Democratic Republic of Congo,1045218.438,1072726.789,1103272.219,1136674.279,1171153.122,1207366.431,1244698.349,1284636.231,1326260.353,1370340.012
Denmark,123778.2055,124037.499,124644.0414,125368.4205,126105.3559,126995.4872,127911.092,128980.0306,130075.6914,131185.2497
Djibouti,12703.86865,13230.1438,13811.76137,14408.89124,14984.71978,15581.70882,16141.15795,16762.37047,17414.39691,18070.7072
Dominica,1063.260659,1066.920631,1071.542182,1077.162727,1083.825886,1091.082814,1098.722847,1106.34285,1114.745301,1124.830335
Dominican Republic,163284.7613,165754.6192,168238.314,170783.9468,173123.597,175299.1464,177108.3313,178797.5477,180200.8907,181449.8663
Ecuador,227492.6388,232755.2979,238082.0813,243698.701,249195.434,254949.996,260588.65,266453.6076,272171.7636,277821.9141
Egypt,1366190.344,1398914.682,1429171.608,1458558.484,1487302.656,1515541.616,1545483.96,1574834.025,1604880.361,1637003.146
El Salvador,103298.892,104323.1706,105541.1721,106734.195,108032.7787,109157.5781,110374.662,111516.1262,112643.6898,113787.1136
England,1394153.752,1410521.08,1423683.512,1434603.822,1445106.575,1455353.291,1465523.669,1475459.677,1484917.013,1493807.265
Equatorial Guinea,15966.26406,16641.78956,17336.35935,18044.21533,18784.53629,19541.04458,20338.79865,21153.87876,21983.86995,22840.88067
Eritrea,77146.07346,79425.58616,81697.60936,83800.93093,85962.27974,87999.49018,89975.33483,92091.6344,94674.48436,97867.90553
Estonia,45634.84026,45137.16119,44712.41586,44305.53572,43934.24713,43584.1458,43257.03785,42993.90636,42769.18472,42598.58133
Ethiopia,1118851.486,1143513.608,1175396.564,1211846.638,1251006.766,1294885.822,1341522.955,1392068.608,1445534.874,1503225.111
Fiji,14540.15212,14690.90109,14841.29995,14977.00706,15089.15219,15211.2417,15321.66293,15428.32974,15538.53066,15637.50904
Finland,181259.8277,181653.2954,181989.6931,182083.9081,182125.7394,181987.9106,181654.8289,181120.3706,180277.4071,179396.4746
France,1875617.752,1917330.062,1940735.184,1950161.796,1958061.918,1962934.938,1966518.903,1965178.185,1959313.246,1948995.122
Gabon,27592.2628,28087.72538,28664.31243,29367.12928,30072.24265,30806.32089,31576.22747,32376.7493,33233.27298,34116.21166
Gambia,34037.4585,34716.9203,35626.23381,36719.01419,37860.10178,39071.52218,40350.8157,41674.20032,43102.72968,44604.62373
Georgia,84130.10693,83069.29274,82058.61469,81232.34065,80420.55389,79621.73944,78845.05112,78009.04438,77140.92838,76267.09869
Germany,2299695.625,2295088.601,2292694.342,2292116.935,2298911.691,2310530.259,2325565.854,2343675.445,2370580.981,2385919.711
Ghana,369100.2495,380743.2928,392960.0959,405940.2155,419423.0595,432986.1682,447414.5747,462530.3961,477821.032,493625.3261
Greece,350808.9203,348471.3967,346412.0973,343957.4763,340441.2293,335700.0411,331232.3324,327028.9919,322700.3065,319747.5457
Greenland,2187.682551,2181.096566,2189.722849,2198.068119,2196.445206,2184.670944,2167.617842,2146.437232,2118.307089,2099.264123
Grenada,1762.463756,1768.275519,1775.632508,1782.308388,1789.999083,1797.417618,1802.505636,1808.903389,1814.597918,1819.845775
Guam,2928.313887,2959.780315,2985.923168,3009.31959,3034.487185,3056.055754,3077.904909,3097.361123,3115.905076,3131.023813
Guatemala,230459.2773,236704.0369,243272.4803,249969.6207,256889.2286,263869.9435,270674.8696,277340.7302,283882.393,290349.4004
Guinea,150850.5306,154285.622,158154.3522,161943.3758,165928.6535,170137.4246,174623.6226,179074.5237,184058.93,189415.2022
Guinea-Bissau,23654.44967,24313.26666,24994.2472,25672.94052,26376.34983,27109.74187,27877.76262,28666.41115,29475.02017,30333.03685
Guyana,17305.23981,17487.44227,17652.82848,17768.45369,17855.3237,17911.51794,17938.62057,17938.14587,17904.57584,17821.41519
Haiti,157832.3219,162363.416,165394.5907,168392.7465,172612.61,176903.2239,181007.8371,185183.8077,189150.8202,193407.798
Honduras,100038.1225,103565.1888,107241.0967,111005.4695,114953.0766,118799.928,122728.7594,126614.6837,130665.1005,134696.8283
Hungary,218618.9547,217884.8004,217748.1151,217931.7766,218322.0572,218750.824,219706.7533,220831.6011,222186.7876,223901.7959
Iceland,6955.615365,7048.69776,7113.824737,7165.844184,7216.934757,7279.867824,7358.848563,7448.026937,7545.083345,7643.880948
Indonesia,3375175.722,3426251.639,3483444.2,3546651.714,3612954.218,3682771.369,3754684.797,3831936.777,3912321.043,3997409.718
Iran,2110007.463,2166056.068,2212047.197,2254169.289,2298434.612,2344445.408,2391595.533,2436512.865,2482735.753,2529971.988
Iraq,560674.3928,583933.3242,608481.1375,640130.0516,677322.342,711290.5719,742638.9762,772673.1438,805326.4507,840418.8482
Ireland,123699.9666,125505.6698,127154.1914,128491.1118,129466.6821,130117.2798,130336.6549,130409.641,130286.3535,130136.7283
Israel,187497.8972,190781.5978,193917.5335,196824.9699,199342.5389,201600.4725,203530.8612,205046.3232,206150.2392,207161.5492
Italy,1535768.024,1553814.275,1566686.613,1573479.316,1577010.142,1578620.024,1578017.8,1576429.415,1572293.399,1567773.18
Jamaica,41476.67747,41754.06201,42112.27888,42514.1678,42925.14587,43316.49975,43731.4206,44192.16947,44660.12059,45135.00357
Japan,2679178.431,2687240.64,2696833.447,2708673.897,2724780.626,2744230.993,2766918.378,2792162.434,2819886.694,2847932.456
Jordan,115552.9531,119998.6703,125790.497,131126.791,139440.1636,149815.0289,158095.3921,166794.8788,175841.5081,184839.516
Kazakhstan,329400.8186,332525.352,336033.2003,339861.3974,343521.1372,346842.3862,350717.9504,354761.0829,359279.2508,363937.0978
Kenya,567750.5901,579735.2963,594211.0865,611176.1405,629248.614,648354.1756,668235.1861,689138.1234,711312.2725,734866.2975
Kiribati,1532.571708,1569.062472,1603.806732,1634.792624,1663.049377,1688.543316,1714.774695,1739.937015,1766.476452,1794.801412
Kuwait,46641.744,49790.53317,53649.41416,57901.48975,62405.64145,67862.47231,73521.60472,78510.37472,83611.59154,88837.34555
Kyrgyzstan,88131.8384,89427.08789,90838.59214,92356.5373,93836.5832,95318.55662,96774.92316,98249.04176,99959.92316,101656.8176
Laos,79523.36603,81248.07968,83217.95307,85227.31874,87380.78933,89588.51176,91850.48178,94250.38708,96732.96279,99346.92147
Latin America and Caribbean,9692152.091,9626628.285,9657960.25,9768484.386,9888200.832,10013882.49,10145491.68,10284342.86,10430898.5,10587437.06
Latvia,61781.86176,61020.36159,60409.19076,59797.11513,59245.82756,58700.07348,58203.81639,57779.31851,57364.54138,57009.01403
Lebanon,131701.0799,134442.933,137193.117,141402.2524,152659.5417,165686.5068,170645.8424,172117.0022,174106.3248,176477.8261
Lesotho,53419.0068,53539.17518,53728.32464,53945.36328,54240.91373,54520.69094,54820.07262,55187.68704,55672.34934,56270.79841
Liberia,69272.05113,71333.37723,75698.15517,79164.3693,80290.59528,82246.50183,84534.12201,86951.44033,89718.65946,92753.53355
Libya,115963.3835,118873.3857,120833.2478,123523.2253,127639.5888,130923.2374,134156.1074,137232.5912,140363.574,143605.929
Lithuania,106282.4515,105175.0787,104280.331,103370.1401,102432.6903,101399.1158,100423.9002,99329.95552,98301.97679,97266.63869
Luxembourg,12299.24441,12488.55519,12713.84877,12959.95107,13258.55111,13555.8432,13871.80763,14215.77335,14577.0182,14959.55453
