region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,689212.4448,714860.3933,745997.8516,782022.1111,814832.3036,852849.1158,884404.6832,906133.4339,932188.7307,967281.2032
Albania,67673.14521,67882.48531,68118.44327,68389.85905,68619.34044,68932.06431,68970.47343,69074.14254,69475.52773,69686.9754
Algeria,1169428.052,1191593.944,1215319.515,1241082.261,1266397.155,1292987.417,1319984.586,1347114.38,1375798.554,1405671.099
American Samoa,1391.053957,1396.133828,1402.059422,1410.732471,1420.403178,1431.934307,1443.742554,1455.982689,1469.432166,1483.683599
Andorra,3449.411747,3447.89433,3462.341628,3207.838765,3123.856793,3124.093616,3168.900989,3216.876423,3245.706055,3339.035576
Angola,592606.7653,613960.3715,637274.713,661808.4337,687303.9062,714148.2427,741377.4127,770605.7741,800517.8038,832599.3331
Antigua and Barbuda,2184.183638,2207.518009,2233.401941,2261.742383,2291.340887,2319.952641,2350.94708,2381.900165,2415.520409,2448.101167
Argentina,1397666.173,1417135.905,1437430.387,1457172.225,1477143.915,1497554.069,1517813.603,1537719.835,1556896.838,1576036.409
Armenia,92272.03663,92310.62204,92350.38479,92431.64932,92462.64285,92461.58747,92559.10529,92654.45724,92785.33459,92936.04838
Australasia,1150344.893,1160700.432,1172021.727,1184478.183,1196391.923,1207026.443,1217965.849,1227540.873,1235981.421,1244063.936
Australia,990289.0635,1000757.045,1011660.876,1023289.825,1034461.233,1044375.592,1054482.163,1063070.011,1070499.839,1077458.437
Austria,306891.7616,307280.9778,308039.4264,309259.3736,310846.847,313007.8826,315328.2904,318083.9226,320676.169,322677.5573
Azerbaijan,219718.5526,224038.2523,228293.3924,233181.0071,237849.4766,242557.5718,247157.4894,252144.2152,257323.6719,262605.7134
Bahamas,8708.661583,8849.943328,8993.741993,9153.379662,9315.991512,9482.780718,9644.084479,9810.077428,9983.573075,10157.38646
Bahrain,46103.91576,49672.00553,52874.72397,54920.5184,56255.09887,57762.83694,59178.24226,60577.79306,61497.51305,62428.68879
Bangladesh,5010012.258,5126926.586,5249998.627,5372966.314,5494345.531,5608679.329,5721514.808,5826958.283,5928882.738,6026376.713
Barbados,8192.653285,8332.522894,8471.274886,8606.588627,8738.437707,8872.145653,9003.030233,9131.859477,9256.846069,9377.848682
Belarus,472496.1843,469759.3869,467746.0524,465548.8724,463641.569,462231.8553,460786.1547,459631.6785,458589.2217,457615.9403
Belgium,464126.0964,471492.4249,476670.7032,480385.6883,484003.1869,487352.4904,490045.0507,492502.8653,494713.8104,496927.736
Belize,7361.114693,7638.476821,7930.684437,8228.438866,8534.863102,8846.048719,9156.95673,9473.281499,9788.65609,10114.55716
Benin,209460.5984,217027.9519,225011.4813,233242.9041,241923.3552,250879.2877,260281.4177,270162.3525,280261.9111,290851.6656
Bermuda,2132.690528,2139.592318,2149.786766,2163.417186,2176.05325,2188.073681,2197.776358,2210.012447,2222.362504,2233.801596
Bhutan,20817.41951,21696.16275,22677.81924,23756.89258,24784.99888,25715.46756,26634.78916,27574.20258,28478.19999,29328.84154
Bolivia,260295.774,266635.1938,272878.3395,279292.4406,285490.6656,291587.1477,297408.4864,303177.1602,308827.2566,314645.7891
Bosnia and Herzegovina,107423.1841,105454.0018,103873.6136,102450.1789,101424.2843,100438.3692,99380.15121,98313.60132,97306.34734,96446.24881
Botswana,64971.53998,66413.87149,67954.05241,69574.87166,71214.68207,72931.85831,74673.74062,76492.21994,78332.69107,80248.34207
Brazil,7090678.049,6927025.545,6867106.572,6890827.297,6922362.059,6960328.322,7007235.839,7066015.482,7137358.834,7221483.153
Brunei,9015.641459,9172.3138,9351.695965,9545.478458,9734.962398,9933.141635,10129.49116,10347.3174,10570.05467,10796.43004
Bulgaria,248023.8161,245491.9807,243358.1426,241382.0826,239676.1637,238439.4479,237322.1758,236384.56,235416.1028,234483.6983
Burkina Faso,382969.7482,395353.4859,409100.7902,423792.7625,439708.7194,456606.5787,474626.6433,494117.7413,514598.549,536754.2254
Burundi,216297.0788,225922.9969,231084.1374,236052.0362,244250.1344,252700.7393,258608.1459,263263.7093,271090.694,280877.6065
Cambodia,369093.6741,377824.7944,386459.5306,395437.8603,404178.0828,413029.5262,421690.0087,430554.6755,439250.9118,448301.5029
Cameroon,527587.6705,547671.3959,568312.8744,590243.6236,612469.2066,635919.7552,660626.281,686086.3823,712311.7607,739628.9425
Canada,1317823.099,1327585.962,1339777.736,1354038.12,1367975.35,1381335.474,1394733.328,1408679.852,1423298.889,1438911.334
Cape Verde,16915.31805,17283.46343,17648.47311,18033.23234,18417.16622,18799.40574,19183.60328,19568.83054,19954.17238,20345.12553
Caribbean,1321354.431,1335579.82,1348062.778,1361558.009,1377444.465,1393039.14,1407878.392,1422668.685,1436588.677,1451174.541
Central African Republic,136307.7168,139682.847,143494.6186,147510.8469,149876.2254,148835.0088,147919.698,149809.5499,153434.639,157770.0245
Chad,272717.8419,281355.5499,290598.7999,300403.0746,310634.1202,321420.7802,332315.4956,343989.5714,356115.1841,368863.9642
Chile,668003.7939,670611.9102,676286.1812,684830.639,693404.0133,701279.5351,709444.1259,717399.8656,725629.878,734070.0848
China,50183590.8,51189383.22,52073047.05,52856181.77,53592877.18,54294793.89,54949280.92,55511637.65,55978079.03,56364934.82
Colombia,964603.1952,961758.4131,969393.9708,985723.8731,1002373.523,1020061.246,1037917.474,1056817.187,1076955.86,1098230.128
Comoros,16028.42371,16364.35885,16735.46053,17134.99041,17548.65032,17990.54335,18438.27359,18916.24016,19417.81467,19928.53793
Congo,131877.093,135302.7552,138818.9573,142403.703,146054.4523,149724.1955,153395.4032,157074.2709,160788.7824,164640.4629
Costa Rica,118105.0395,120430.4449,122672.3668,124823.9462,127009.4922,129018.7455,131135.0365,133217.8495,135165.1987,137127.9748
Cote d'Ivoire,476300.9086,487314.8558,498846.0584,511056.3078,524430.6178,538704.9895,553909.7852,570309.7464,588053.5498,607002.1893
Croatia,150854.5585,150258.9482,150105.9008,150079.0698,150125.1157,150147.3952,150260.5678,150217.6387,150224.2456,150458.58
Cuba,437743.7997,437667.6137,438498.1703,440073.2603,441807.645,443507.1221,444946.2176,446523.9379,447914.0621,449705.3348
Cyprus,37401.78882,38211.31945,39093.43843,40057.30537,40980.65452,41937.16937,42887.4185,43835.40319,44809.25596,45768.43687
Czech Republic,339760.17,340676.6257,341486.263,342258.3339,343014.3029,343441.3139,344038.936,344448.3112,344815.8099,345401.6683
Democratic Republic of Congo,1828006.675,1879318.339,1934540.636,1994407.823,2056396.164,2122189.319,2188742.168,2260431.397,2335765.831,2415311.939
Denmark,195682.4817,196098.383,196929.0307,198125.0286,199303.0465,200689.8889,202228.9687,203955.3155,205738.5416,207520.3015
Djibouti,23332.88423,24271.01909,25307.33672,26365.88498,27391.86847,28450.42539,29449.82426,30538.93485,31702.22103,32852.82996
Dominica,1816.812583,1828.314081,1840.285996,1853.244165,1867.34077,1882.089817,1896.704658,1911.675757,1926.869552,1943.602137
Dominican Republic,264910.215,269121.7761,273487.081,277965.5731,282174.2961,286170.1198,289753.5718,293208.6091,296202.5146,299172.6757
Ecuador,380328.2925,389269.3853,398434.8355,407947.1419,417658.4009,427830.1035,437936.8115,448303.9621,458769.5825,469099.4933
Egypt,2228726.563,2284027.356,2336013.743,2387613.327,2440553.536,2495279.765,2554460.35,2614065.358,2677207.925,2743114.04
El Salvador,160389.7507,162066.7657,163931.6595,165829.0991,167782.0885,169638.5216,171480.0571,173154.4007,174949.9377,176655.4245
England,2271313.535,2297421.963,2319297.513,2338269.448,2356602.954,2374274.429,2391520.5,2408114.02,2423593.064,2437917.115
Equatorial Guinea,27451.17362,28784.0196,30183.34749,31645.38866,33175.17521,34770.43658,36445.5108,38174.11412,39946.07396,41791.2639
Eritrea,129481.5526,133494.8321,137517.1278,141137.833,144929.0828,148487.5958,151934.6838,155626.6503,160105.5932,165617.6819
Estonia,66779.94948,66037.19322,65456.39152,64956.62959,64494.07702,64057.41098,63669.37608,63361.02115,63150.09463,63021.87986
Ethiopia,2068484.552,2116051.159,2173975.883,2239155.583,2307351.936,2382035.523,2459922.906,2542187.698,2628701.57,2720380.942
Fiji,25379.67345,25656.88318,25905.03907,26134.75536,26312.08425,26492.3274,26651.9576,26809.61913,26957.86058,27094.01697
Finland,284320.7172,284702.7361,285151.0618,285205.0632,285076.6073,284664.5011,283937.9877,282837.8448,281437.0476,279845.2242
France,2818335.726,2874429.709,2907587.529,2922490.611,2935046.126,2945623.708,2953670.633,2957621.643,2955990.038,2949848.697
Gabon,49240.18027,50197.05584,51255.25978,52456.93756,53676.75105,54923.21526,56234.56228,57577.68218,59001.23741,60465.46427
Gambia,48976.55445,50096.50267,51457.57488,53024.83189,54666.47502,56429.54572,58268.85803,60183.75221,62254.26303,64400.16088
Georgia,129732.1766,128457.3403,127163.5857,126061.7656,124949.7963,123880.4712,122802.4861,121701.1604,120473.3648,119294.8362
Germany,3540337.765,3531829.332,3527024.587,3523349.715,3531701.741,3546375.228,3566465.424,3592439.004,3638337.106,3655451.369
Ghana,614254.6546,632828.1335,652272.1713,673070.7372,694757.9428,716859.936,740125.4986,764711.5186,789716.7254,815606.4448
Greece,531049.2218,528043.0307,525033.8024,521293.9484,515683.5612,508265.2005,501125.7916,494272.5161,487176.5085,481899.4947
Greenland,3605.95678,3602.672399,3615.624332,3623.828839,3619.094399,3597.833412,3565.774953,3527.915763,3487.434347,3455.143109
Grenada,3077.973436,3094.50257,3114.241612,3133.112858,3154.462001,3176.372679,3195.205261,3214.676262,3232.096044,3249.182869
Guam,5427.361099,5502.804482,5562.364341,5614.520315,5667.135178,5715.137558,5760.382193,5800.759335,5835.037712,5863.498221
Guatemala,361885.7659,371356.9234,381668.7741,392563.2014,403715.5862,415006.9017,426350.1695,437663.8331,448778.3718,460096.1246
Guinea,237105.3287,242531.5199,248495.1531,254471.1733,260733.021,267242.2016,274087.8102,281143.2672,288846.323,297214.6929
Guinea-Bissau,36991.47562,38019.52305,39073.7139,40142.56625,41243.68912,42393.4567,43602.09663,44837.97334,46125.19645,47493.77273
Guyana,29000.63081,29259.63285,29488.28519,29644.93287,29750.46175,29821.31352,29860.58824,29850.40475,29806.40282,29695.96074
Haiti,248731.3574,255753.0051,259799.9702,263849.907,270625.7275,277529.5681,284463.113,291375.9388,298255.3922,305495.0973
Honduras,161070.3639,166678.7291,172374.2077,178273.5429,184419.2342,190516.4824,196667.0491,202820.7744,209222.0329,215683.2772
Hungary,341239.3184,339819.6446,339174.0415,339155.1831,339188.0605,339294.0654,340217.2881,341109.354,342364.9083,343938.922
Iceland,10848.47794,10973.48109,11030.5773,11078.93136,11140.27338,11232.47961,11362.15211,11517.97439,11694.06859,11876.14621
India,39127786.34,38837591.02,39179742.74,40025205.18,40890509.27,41783638.5,42711092.58,43665724.14,44654947.03,45697488.59
Indonesia,5628840.708,5718958.618,5817075.222,5923716.204,6034758.852,6150701.877,6270325.381,6397075.527,6527472.111,6665585.703
