region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,25796.38025,25239.60041,25630.26649
Afghanistan,364.6604654,438.0760344,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102,556.3021385
Angola,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942
Albania,4370.540087,4114.14015,4094.362119,4437.178067,4247.614279,4413.081743,4578.66672,3952.829458,4124.108907,4532.890162
Andorra,47785.08927,43338.86676,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535,37224.10892,39134.39337
United Arab Emirates,44498.93423,32024.1816,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,39811.6347
Argentina,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338
Armenia,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268
American Samoa,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448
Australia,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54066.47127
Austria,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45237.80509,47431.63061
Azerbaijan,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.320497,3880.738731,4147.089716
Burundi,198.3529006,212.1368804,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307
Belgium,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,42012.0999,44219.562
Benin,820.1508783,793.4522526,758.4350829,827.0226108,837.8949968,915.5758164,944.931653,784.2784072,789.0849152,829.4788028
Burkina Faso,569.7613172,552.7455886,575.4464527,666.8401198,673.8215984,699.7794056,703.8200556,575.3144542,582.7954443,642.4298387
Bangladesh,634.9870565,702.26441,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.994082
Bulgaria,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638,8228.01157
Bahrain,23066.5099,19355.90467,20722.13729,22514.25875,23654.37185,24744.35763,24989.38021,22688.96379,22619.11667,23715.48275
Belarus,6377.369732,5351.355382,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712
Belize,4460.634144,4243.433284,4270.799647,4423.490439,4505.62068,4568.542051,4705.610045,4775.915077,4818.404394,4887.55982
Bermuda,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,
Bolivia,1715.208922,1754.211061,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949,3351.124053
Brazil,8831.023117,8597.915352,11286.24302,13245.6125,12370.0242,12300.32258,12112.5903,8814.000987,8712.887044,9880.946543
Barbados,17092.31459,15886.13929,16056.11684,16459.05801,16249.89778,16452.03696,16488.52576,16561.87352,16936.90604,17431.60292
Brunei Darussalam,37934.37651,27955.71386,35269.55311,47055.84112,47741.90647,44740.08502,41726.78397,31164.56203,27157.82341,28572.14678
Bhutan,1873.59735,1864.536803,2312.860096,2625.433256,2599.396094,2532.015642,2749.352665,2829.891245,3012.961401,3390.714075
Botswana,5713.534983,5255.768461,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234,7243.852997,7893.210108
Canada,46594.45095,40773.06153,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439,42279.90082,45069.92725
Switzerland,72487.83471,69927.44229,74605.77451,88415.61081,83538.21282,85112.4696,86605.51739,82081.60921,80172.1933,80450.04582
Channel Islands,,,,,,,,,,
Chile,10751.47967,10208.90676,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13748.08766,15037.35028
China,3468.304463,3832.235952,4550.453596,5618.132491,6316.918863,7050.64592,7651.366044,8033.388043,8078.790474,8759.041578
Cote d'Ivoire,1235.613366,1210.295426,1211.930338,1207.001434,1243.344597,1415.469385,1559.386504,1426.457864,1481.652231,1557.182814
Cameroon,1371.746708,1314.706015,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277,1363.403851,1421.587492
Colombia,5461.780726,5195.393376,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,6175.87603,5871.223524,6375.932063
Comoros,1387.594626,1339.337191,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1242.102885,1272.193943,1320.541867
Cabo Verde,3721.250949,3517.401245,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.982229,3292.645755
Costa Rica,6859.079022,6760.477515,8141.913127,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554,11666.45591,11752.5434
Cuba,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673
Curacao,,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152
Cayman Islands,85187.84024,77398.01584,73350.78482,72328.41164,72783.32044,73515.89532,74990.43322,76280.48625,78296.09993,81124.51348
Cyprus,35391.04006,32105.86748,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415,24019.13787,25760.7627
Czech Republic,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658,20379.89604
Germany,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045,44240.04411
Djibouti,,,,,,2312.728803,2466.018332,2675.605374,2818.376856,2930.703172
Dominica,6469.145738,6902.85717,6967.24523,7065.052968,6848.418234,7016.676471,7318.103783,7596.435062,8080.968623,7274.721333
Denmark,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54663.99837,57141.05984
Dominican Republic,5087.991118,5039.407423,5555.390949,5913.434422,6110.369521,6238.133097,6608.832257,6921.517371,7280.873164,7609.345492
Algeria,4923.540099,3883.378143,4480.724539,5455.741338,5592.326098,5499.581487,5493.02559,4177.867517,3946.421445,4044.298372
Ecuador,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276
"Egypt, Arab Rep.",2044.527855,2329.23948,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165,2440.510173
Euro area,42177.82092,38423.21376,37567.0529,40613.00019,37597.99051,39102.95286,39856.7003,34377.51406,35128.1033,36997.72704
Eritrea,450.6328403,595.1099872,667.7441778,811.3760286,,,,,,
Spain,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.62433,28100.85228
Estonia,18227.12008,14794.97079,14784.38108,17624.04414,17534.42154,19174.10073,20367.10266,17522.23019,18237.29584,20337.84973
Ethiopia,326.4368267,380.5690479,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,640.5418913,717.1245929,768.4250255
Finland,53554.03892,47293.99283,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42811.21299,43777.44009,46191.93116
Fiji,4167.670285,3362.816555,3652.527437,4371.45751,4591.555784,4840.693716,5605.570331,5390.745237,5651.318055,6101.030839
France,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229,38679.12715
Faroe Islands,50866.0811,47447.87004,48530.23385,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933,55822.91472,
Gabon,10212.81943,7690.052235,8840.730664,10795.50058,9814.038992,9680.824339,9650.574376,7381.746749,6979.709196,7212.535744
United Kingdom,47286.99849,38713.13743,39435.8399,42038.50048,42462.71491,43444.56484,47417.63505,44966.10193,41074.16728,40361.41738
Georgia,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,4623.729554,4739.203565,4014.185944,4062.169888,4357.011625
Ghana,1210.622257,1074.75538,1298.436952,1558.482133,1613.286837,2378.159513,1968.858263,1766.005701,1931.38947,2025.885857
Gibraltar,,,,,,,,,,
Guinea,715.0968204,674.0855502,672.4244026,651.1353635,717.0507379,769.0039433,787.2380702,769.2560137,732.9621726,855.5736399
"Gambia, The",924.5115164,833.2804027,860.6378737,762.7610541,742.7811378,700.514972,607.4284041,660.7235712,682.7180203,679.7773326
Guinea-Bissau,597.5763927,557.1716148,557.6321326,702.7428804,616.4116862,634.482446,622.4817167,603.1585129,661.0076549,736.7255662
Equatorial Guinea,22942.58345,16667.93682,17272.00977,21613.54923,21712.39502,20384.92453,19368.23091,11278.92894,9244.051798,9738.434224
Greece,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962,18883.46007
Grenada,7832.423352,7290.6971,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487,10163.62985
Greenland,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,
Guatemala,2794.176832,2635.716443,2825.483963,3187.866203,3299.665605,3452.922,3687.836951,3923.573344,4140.589826,4470.609994
Guam,29056.31429,30026.50321,30700.43401,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594,35562.83791,35615.80463
Guyana,2566.887085,2756.819889,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.128516,4542.622067,4586.054572
Honduras,1727.827701,1789.706651,1904.346465,2088.3153,2144.342611,2102.593166,2206.051934,2302.201379,2342.584651,2449.964691
Croatia,16309.44842,14555.98765,13923.63705,14566.62973,13238.11795,13642.19778,13600.18618,11782.90255,12360.47326,13412.34195
Haiti,678.8447898,672.0369979,665.6274195,744.2174268,769.749381,815.8200152,831.8739489,815.7282844,735.3017703,765.7272943
Hungary,15753.47328,13046.48101,13113.52596,14150.96673,12918.24752,13687.2461,14246.1098,12651.56834,12992.37567,14457.60876
Indonesia,2166.854167,2261.247224,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756,3836.913814
India,998.522339,1101.96084,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605431,1729.268021,1981.268706
Ireland,61262.10056,52105.15248,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237,69649.88274
Iraq,4636.610978,3853.940935,4657.280426,6045.495551,6836.027313,7076.554608,6818.804621,4989.803075,4776.726499,5205.288255
Iceland,56409.77346,41333.41987,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576,61757.94931,71314.7742
Israel,29567.80388,27715.63681,30693.59308,33669.24647,32511.23785,36309.46883,37678.88977,35776.79517,37321.62404,40541.86209
Italy,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30936.12544,32326.84175
Jamaica,4917.718398,4316.231053,4704.054455,5111.471413,5209.851931,4989.171391,4833.790318,4907.50372,4843.338474,5069.183838
Jordan,3398.151722,3504.00246,3690.113268,3816.279258,3877.339345,3998.027473,4072.765475,4105.448961,4103.7336,4162.820687
Japan,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38794.33094,38331.9794
Kazakhstan,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9247.581331
Kenya,902.0700258,905.1317861,951.6879611,971.633329,1136.871406,1210.388014,1315.804535,1336.883349,1410.527571,1568.201541
Cambodia,745.6091807,738.0547836,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1278.631062,1385.458363
Kiribati,1428.120516,1311.999002,1516.811869,1735.018358,1788.505421,1715.765331,1642.762597,1542.57525,1584.807446,1625.57597
Kuwait,55494.95099,37561.67267,38577.38166,48618.88229,51978.99848,49388.20939,44062.4003,29869.52939,27653.1644,29759.53245
Lao PDR,900.3236718,948.6539323,1140.599205,1378.361365,1581.395403,1825.665113,1998.335215,2134.711796,2308.800482,2423.846203
Lebanon,6134.13043,7371.100639,7756.744069,7703.389472,7985.854941,7923.851717,7712.062848,7649.832611,7634.946544,7838.343385
Liberia,478.3999379,470.9476196,513.4456986,596.8970811,657.9362563,721.9300554,721.1827948,710.3838577,714.6233922,698.7017644
Libya,14382.57629,10275.26656,12064.78069,5554.179164,13025.28139,10363.78949,6466.91027,4337.919139,4035.194316,5756.42314
Liechtenstein,143255.9816,126082.4926,141200.38,158156.5998,149010.2249,173058.3174,178845.631,167290.94,165028.245,
Sri Lanka,2037.322103,2090.401826,2799.648876,3200.833829,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502,4104.630983
Lesotho,884.9626748,890.9963833,1199.951766,1393.386362,1328.813074,1249.183496,1276.413,1112.081441,1115.336075,1226.61263
Lithuania,14961.56818,11837.39103,11953.93844,14338.64351,14333.94934,15705.16399,16534.48198,14249.11497,14999.47964,16840.93857
Luxembourg,114293.8433,103198.6693,104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,101376.4966,104278.391,107361.3069
Latvia,16376.99836,12257.21657,11344.69337,13713.85531,13847.78511,15043.11756,15740.32675,13698.93795,14153.41492,15548.08231
Morocco,2890.360083,2866.924199,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2897.66344,3036.171062
Monaco,185721.7942,154762.1994,150585.4489,168785.9408,157515.8991,177593.3519,189170.8957,165937.8653,169915.8048,167101.7594
Moldova,1695.985075,1525.526119,1958.13372,2363.593725,2446.725316,2668.683009,2674.116332,2179.233625,2272.405707,2724.493093
Madagascar,536.3514821,467.5397379,471.9592116,531.2655054,518.1528127,541.0660851,530.8612639,467.2352774,475.9553656,515.292739
Maldives,6614.159147,6636.412416,7076.662423,7291.42764,7265.613656,7928.457365,8499.365762,9033.390413,9209.288625,9540.634349
Mexico,10016.5713,8002.972106,9271.398233,10203.42085,10241.72792,10725.18332,10922.37605,9605.952351,8739.756043,9278.418168
Marshall Islands,2726.097483,2698.179556,2876.994997,3083.83188,3224.338382,3296.698163,3230.02326,3213.837288,3473.775006,3666.695374
Mali,690.8824398,698.2183825,709.5819646,836.5098094,778.6694625,805.2596685,847.1503863,751.1705935,779.874933,828.5119764
Malta,21928.70067,20675.58259,21107.36443,22845.90489,21926.80837,23838.6144,26012.01531,24077.01082,25151.51962,27283.54473
Myanmar,638.1490599,734.4460067,979.05163,1176.242453,1165.794329,1162.33144,1251.820765,1133.002816,1192.495338,1249.828746
Montenegro,7367.751909,6727.10552,6682.281158,7318.74469,6586.721279,7186.431924,7378.345289,6514.272695,7028.936577,7784.06529
